sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
TEST_MERGEIRSNB M 0900	Europe	Belgium						Antwerp Province, Antwerpen, Wijneghem, fort 1°'																					BE																																					
TEST_MERGEIRSNB M 0742	Europe	Belgium						Antwerp Province, Antwerpen, 1st section°'																					BE																																					
TEST_MERGEIRSNB M 0746	Europe	Belgium						Antwerp Province, Antwerpen, citadelle du Nord°'																					BE																																					
TEST_MERGEIRSNB M 0747	Europe	Belgium						Antwerp Province, Antwerpen, fort n°1°'																					BE																																					
TEST_MERGEIRSNB M 0752a-d	Europe	Belgium						Antwerp Province, Stuyvenberg, 2nd section°'																					BE																																					
TEST_MERGEIRSNB M 0772	Europe	Belgium						Antwerp Province, Wommelghem, fort n°2Coty°'																					BE																																					
TEST_MERGEIRSNB M 0780	Europe	Belgium						Antwerp Province, Borsbeek, fort 3°'																					BE																																					
TEST_MERGEIRSNB M 0800a-o	Europe	Belgium						Antwerp Province, Citadelle du Nord (Austruweel)°'																					BE																																					
TEST_MERGEIRSNB M 0811a-b	Europe	Belgium						Antwerp Province, Antwerpen, Wijneghem°'																					BE																																					
TEST_MERGEIRSNB M 0816	Europe	Belgium						Antwerp Province, Borsbeek°'																					BE																																					
TEST_MERGEIRSNB M 0823	Europe	Belgium						Antwerp Province, Antwerpen, Austruweel, 1er section°'																					BE																																					
TEST_MERGEIRSNB M 0825	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, fort n°6, fossé du ravelin°'																					BE																																					
TEST_MERGEIRSNB M 0826	Europe	Belgium						Antwerp Province, Antwerpen, 2nd section (Stuyvenberg)°'																					BE																																					
TEST_MERGEIRSNB M 0831	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, bord du fossé capital°'																					BE																																					
TEST_MERGEIRSNB M 0832	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, niveau canal d'Herenthals°'																					BE																																					
TEST_MERGEIRSNB M 0843a-b	Europe	Belgium						Antwerp Province, Antwerpen, fort n°2°'																					BE																																					
TEST_MERGEIRSNB M 0853a-f²	Europe	Belgium						"Antwerp Province, Antwerpen, 2nd section (Stuyvenberg) lettre g, n°110, entre la ""copossière"" 3 et 4g°'"																					BE																	Formation Kattendijk																				
TEST_MERGEIRSNB M 0854	Europe	Belgium						Antwerp Province, Antwerpen, 2nd section°'																					BE																	Formation Kattendijk																				
TEST_MERGEIRSNB M 0857	Europe	Belgium						Antwerp Province, Antwerpen°'																					BE																	Formation Kattendijk																				
